,seniorcitizen,partner,dependents,tenure,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges
3488,0,No,No,9,DSL,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,59.9,542.4
517,1,Yes,No,5,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.05,302.6
2558,0,No,No,38,No,No,No,No,No,No,No,One year,No,Mailed check,20.05,678.2
1912,0,Yes,Yes,44,No,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),20.5,865.05
3486,0,No,No,47,Fiber optic,Yes,Yes,No,No,Yes,No,One year,No,Bank transfer (automatic),94.8,4535.85
333,0,No,No,7,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,73.85,511.25
4799,0,Yes,Yes,10,No,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),19.8,196.75
6543,0,Yes,Yes,62,DSL,Yes,No,Yes,No,No,No,One year,No,Credit card (automatic),54.75,3425.35
6112,1,Yes,Yes,66,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,104.9,6891.45
4233,0,Yes,No,33,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),59.55,2016.3
1765,0,Yes,No,58,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),110.65,6526.65
2303,0,No,No,2,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,47.8,92.45
2036,1,Yes,No,1,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,74.3,74.3
2585,0,No,No,37,No,No,No,No,No,No,No,Two year,No,Mailed check,19.8,813.3
5664,1,No,No,10,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),84.6,865.55
4057,0,Yes,Yes,72,No,No,No,No,No,No,No,Two year,No,Mailed check,24.9,1859.2
5037,0,No,No,2,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,79.65,152.7
1050,1,No,No,12,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,43.65,526.95
6008,0,Yes,Yes,15,No,No,No,No,No,No,No,One year,Yes,Mailed check,19.5,239.75
1821,1,Yes,No,32,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,85.3,2661.1
588,0,Yes,No,72,Fiber optic,Yes,Yes,Yes,No,No,Yes,Two year,Yes,Electronic check,99.15,7422.1
6160,0,No,No,36,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),89.65,3348.1
4665,0,Yes,Yes,67,DSL,Yes,Yes,No,No,No,No,Two year,No,Bank transfer (automatic),36.15,2434.45
2931,1,No,Yes,33,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),105.35,3465.05
6558,0,No,No,16,No,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),20.25,327.45
5073,0,No,Yes,22,DSL,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),49.45,1031.4
2022,0,No,No,16,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,86.25,1340.1
635,0,Yes,Yes,65,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,6985.65
3095,0,No,No,11,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,84.8,888.75
3400,0,No,No,18,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),84.3,1537.9
1642,0,Yes,No,29,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,19.85,573.05
6312,0,No,No,54,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),105.4,5643.4
2852,0,Yes,No,66,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),85.9,5595.3
4805,0,Yes,Yes,52,No,No,No,No,No,No,No,Two year,No,Mailed check,24.55,1331.05
3177,0,Yes,Yes,72,DSL,Yes,No,Yes,Yes,Yes,No,Two year,No,Mailed check,48.9,3527.0
538,0,Yes,No,69,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Credit card (automatic),95.65,6744.2
2219,1,No,No,20,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,89.95,1648.45
4772,0,Yes,Yes,69,DSL,No,Yes,Yes,Yes,No,No,One year,No,Bank transfer (automatic),59.1,4134.7
