,Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Payment,cogs,Rating
856,770-42-8960,B,Mandalay,Normal,Male,Food and beverages,21.12,8,8.448,177.408,2019-01-01,Cash,168.96,6.3
567,651-88-7328,A,Yangon,Normal,Female,Fashion accessories,65.74,9,29.583000000000002,621.243,2019-01-01,Cash,591.66,7.7
245,530-90-9855,A,Yangon,Member,Male,Home and lifestyle,47.59,8,19.035999999999998,399.756,2019-01-01,Cash,380.72,5.7
696,182-52-7000,A,Yangon,Member,Female,Sports and travel,27.04,4,5.4079999999999995,113.568,2019-01-01,Ewallet,108.16,6.9
523,133-14-7229,C,Naypyitaw,Normal,Male,Health and beauty,62.87,2,6.287000000000001,132.02700000000002,2019-01-01,Cash,125.74,5.0
829,416-17-9926,A,Yangon,Member,Female,Electronic accessories,74.22,10,37.11,779.31,2019-01-01,Credit card,742.2,4.3
496,556-97-7101,C,Naypyitaw,Normal,Female,Electronic accessories,63.22,2,6.322,132.762,2019-01-01,Cash,126.44,8.5
970,746-04-1077,B,Mandalay,Member,Female,Food and beverages,84.63,10,42.315,888.615,2019-01-01,Credit card,846.3,9.0
484,493-65-6248,C,Naypyitaw,Member,Female,Sports and travel,36.98,10,18.49,388.29,2019-01-01,Credit card,369.8,7.0
17,765-26-6951,A,Yangon,Normal,Male,Sports and travel,72.61,6,21.783,457.44300000000004,2019-01-01,Credit card,435.66,6.9
839,271-77-8740,C,Naypyitaw,Member,Female,Sports and travel,29.22,6,8.766,184.08599999999998,2019-01-01,Ewallet,175.32,5.0
450,891-01-7034,B,Mandalay,Normal,Female,Electronic accessories,74.71,6,22.413,470.673,2019-01-01,Cash,448.26,6.7
451,744-09-5786,B,Mandalay,Normal,Male,Electronic accessories,22.01,6,6.603,138.66299999999998,2019-01-02,Cash,132.06,7.6
425,198-84-7132,B,Mandalay,Member,Male,Fashion accessories,40.61,9,18.2745,383.7645,2019-01-02,Cash,365.49,7.0
410,244-08-0162,B,Mandalay,Normal,Female,Health and beauty,34.21,10,17.105,359.205,2019-01-02,Cash,342.1,5.1
300,446-47-6729,C,Naypyitaw,Normal,Male,Fashion accessories,99.82,2,9.982000000000001,209.622,2019-01-02,Credit card,199.64,6.7
88,504-35-8843,A,Yangon,Normal,Male,Sports and travel,42.47,1,2.1235,44.5935,2019-01-02,Cash,42.47,5.7
558,712-39-0363,A,Yangon,Member,Male,Food and beverages,41.66,6,12.498,262.45799999999997,2019-01-02,Ewallet,249.96,5.6
